Comment,Designator,Footprint,LCSC
10uF,"C3,C4",C_0805_2012Metric,C15850
TP4056,U3,SOP127P600X175-9N,C16581
100R,"R2,R3",R_0805_2012Metric,C17408
DRV8837C,"U1,U2",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C191000
RED_LED,D2,LED_0805_2012Metric,C2296
GREEN_LED,D1,LED_0805_2012Metric,C2297
3k3,R1,R_0805_2012Metric,C26010
0.1uF,"C1,C2",C_0805_2012Metric,C28233
SW_DPDT_x2,SW1,mySwitch,C2890358
